,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7517006802721088,0.3488372093023256,0.6382978723404256,0.45112781954887227,0.8028253940907916
Random Forest,0.8435374149659864,0.5555555555555556,0.10638297872340426,0.17857142857142855,0.7878370229993971
Gradient Boosting,0.8605442176870748,0.7142857142857143,0.2127659574468085,0.32786885245901637,0.8055818761305884
SVM,0.8333333333333334,0.48333333333333334,0.6170212765957447,0.5420560747663552,0.8160048238435698
XGBoost,0.8537414965986394,0.6111111111111112,0.23404255319148937,0.3384615384615385,0.7463175122749591
